gene_human,gene_mouse,entrez_id_human,MGI,entrez_id_mouse,pleiotropy_HPO,pleiotropy_MPO
ACSS3,Acss3,79611,MGI:2685720,380660.0,,
ACTA1,Acta1,58,MGI:87902,11459.0,2.0,2.0
ACTA2,Acta2,59,MGI:87909,11475.0,1.0,1.0
ACTB,Actb,60,MGI:87904,11461.0,2.0,2.0
ACTBL2,Actbl2,345651,MGI:2444552,238880.0,,
ACTC1,Actc1,70,MGI:87905,11464.0,1.0,1.0
ACTE1P,Acte1,399923,MGI:2685344,102636989.0,,
ACTG1,Actg1,71,MGI:87906,11465.0,1.0,2.0
ACTG2,Actg2,72,MGI:104589,11468.0,2.0,1.0
ACTL10,Actl10,170487,MGI:1917612,70362.0,,0.0
ACTL11P,Actl11,389120,MGI:1914972,67722.0,,
ACTL6A,Actl6a,86,MGI:1861453,56456.0,,1.0
ACTL6B,Actl6b,51412,MGI:1933548,83766.0,1.0,1.0
ACTL7A,Actl7a,10881,MGI:1343051,11470.0,,1.0
ACTL7B,Actl7b,10880,MGI:1343053,11471.0,,1.0
ACTL9,Actl9,284382,MGI:1916731,69481.0,0.0,1.0
ACTMAP,Actmap,284325,MGI:3041247,414069.0,,1.0
ACTN1,Actn1,87,MGI:2137706,109711.0,1.0,
ACTN2,Actn2,88,MGI:109192,11472.0,2.0,
ACTN3,Actn3,89,MGI:99678,11474.0,,1.0
ACTN4,Actn4,81,MGI:1890773,60595.0,1.0,2.0
ACTR10,Actr10,55860,MGI:1891654,56444.0,,
ACTR1A,Actr1a,10121,MGI:1858964,54130.0,,
ACTR1B,Actr1b,10120,MGI:1917446,226977.0,,
ACTR2,Actr2,10097,MGI:1913963,66713.0,,0.0
ACTR3,Actr3,10096,MGI:1921367,74117.0,,1.0
ACTR3B,Actr3b,57180,MGI:2661120,242894.0,,1.0
ACTR5,Actr5,79913,MGI:1924748,109275.0,,1.0
ACTR6,Actr6,64431,MGI:1914269,67019.0,,1.0
ACTR8,Actr8,93973,MGI:1860775,56249.0,,1.0
ACTRT1,Actrt1,139741,MGI:1920610,73360.0,,1.0
ACTRT2,Actrt2,140625,MGI:1920603,73353.0,,
ACTRT3,Actrt3,84517,MGI:1923902,76652.0,,1.0
ACVR1,Acvr1,90,MGI:87911,11477.0,1.0,2.0
ACVR1B,Acvr1b,91,MGI:1338944,11479.0,,2.0
ACVR1C,Acvr1c,130399,MGI:2661081,269275.0,,1.0
ACVR2A,Acvr2a,92,MGI:102806,11480.0,,2.0
ACVR2B,Acvr2b,93,MGI:87912,11481.0,1.0,2.0
ACVRL1,Acvrl1,94,MGI:1338946,11482.0,1.0,2.0
ACY1,Acy1,95,MGI:87913,109652.0,1.0,1.0
ACY3,Acy3,91703,MGI:1918920,71670.0,,1.0
ACYP1,Acyp1,97,MGI:1913454,66204.0,,1.0
ACYP2,Acyp2,98,MGI:1922822,75572.0,,
ADA,Ada,100,MGI:87916,11486.0,2.0,2.0
ADAD1,Adad1,132612,MGI:103258,21744.0,,1.0
ADAD2,Adad2,161931,MGI:1923023,75773.0,,1.0
ADAL,Adal,161823,MGI:1923144,75894.0,,1.0
ADAM10,Adam10,102,MGI:109548,11487.0,0.0,2.0
ADAM11,Adam11,4185,MGI:1098667,11488.0,,0.0
ADAM12,Adam12,8038,MGI:105378,11489.0,,1.0
ADAM15,Adam15,8751,MGI:1333882,11490.0,,1.0
ADAM17,Adam17,6868,MGI:1096335,11491.0,1.0,2.0
ADAM18,Adam18,8749,MGI:105986,13524.0,,0.0
ADAM19,Adam19,8728,MGI:105377,11492.0,,1.0
ADAM1A,Adam1a,8759,MGI:2429504,280668.0,,1.0
ADAM1B,Adam1b,100420505,MGI:2429506,280667.0,,
ADAM2,Adam2,2515,MGI:1340894,11495.0,,1.0
ADAM21,Adam21,8747,MGI:1861229,56622.0,,
ADAM22,Adam22,53616,MGI:1340046,11496.0,1.0,1.0
ADAM23,Adam23,8745,MGI:1345162,23792.0,,1.0
ADAM24P,Adam24,646479,MGI:105984,13526.0,,0.0
ADAM28,Adam28,10863,MGI:105988,13522.0,,1.0
ADAM29,Adam29,11086,MGI:2676326,244486.0,,
ADAM30,Adam30,11085,MGI:1918328,71078.0,,
ADAM32,Adam32,203102,MGI:2653822,353188.0,,1.0
ADAM33,Adam33,80332,MGI:1341813,110751.0,,0.0
ADAM3A,Adam3,1587,MGI:102518,11497.0,,0.0
ADAM5,Adam5,255926,MGI:104730,11499.0,,1.0
ADAM6,Adam6a,8755,MGI:2676316,238406.0,,
ADAM7,Adam7,8756,MGI:107247,11500.0,,1.0
ADAM8,Adam8,101,MGI:107825,11501.0,,1.0
ADAM9,Adam9,8754,MGI:105376,11502.0,1.0,1.0
ADAMDEC1,Adamdec1,27299,MGI:1917650,58860.0,,1.0
ADAMTS1,Adamts1,9510,MGI:109249,11504.0,,2.0
ADAMTS10,Adamts10,81794,MGI:2449112,224697.0,1.0,1.0
ADAMTS12,Adamts12,81792,MGI:2146046,239337.0,,1.0
ADAMTS13,Adamts13,11093,MGI:2685556,279028.0,1.0,1.0
ADAMTS14,Adamts14,140766,MGI:2179942,237360.0,,2.0
ADAMTS15,Adamts15,170689,MGI:2449569,235130.0,,1.0
ADAMTS16,Adamts16,170690,MGI:2429637,271127.0,,2.0
ADAMTS17,Adamts17,170691,MGI:3588195,233332.0,1.0,2.0
ADAMTS18,Adamts18,170692,MGI:2442600,208936.0,1.0,2.0
ADAMTS19,Adamts19,171019,MGI:2442875,240322.0,1.0,0.0
ADAMTS2,Adamts2,9509,MGI:1347356,216725.0,2.0,2.0
ADAMTS20,Adamts20,80070,MGI:2660628,223838.0,,2.0
ADAMTS3,Adamts3,9508,MGI:3045353,330119.0,2.0,2.0
ADAMTS4,Adamts4,9507,MGI:1339949,240913.0,,1.0
ADAMTS5,Adamts5,11096,MGI:1346321,23794.0,,1.0
ADAMTS6,Adamts6,11174,MGI:1347348,108154.0,,2.0
ADAMTS7,Adamts7,11173,MGI:1347346,108153.0,,1.0
ADAMTS8,Adamts8,11095,MGI:1353468,30806.0,,
ADAMTS9,Adamts9,56999,MGI:1916320,101401.0,,2.0
ADAMTSL1,Adamtsl1,92949,MGI:1924989,77739.0,1.0,
ADAMTSL2,Adamtsl2,9719,MGI:1925044,77794.0,2.0,1.0
ADAMTSL3,Adamtsl3,57188,MGI:3028499,269959.0,,2.0
ADAMTSL4,Adamtsl4,54507,MGI:2389008,229595.0,1.0,1.0
ADAMTSL5,Adamtsl5,339366,MGI:1913798,66548.0,,1.0
ADAP1,Adap1,11033,MGI:2442201,231821.0,,1.0
ADAP2,Adap2,55803,MGI:2663075,216991.0,,
ADAR,Adar,103,MGI:1889575,56417.0,2.0,2.0
ADARB1,Adarb1,104,MGI:891999,110532.0,1.0,1.0
ADARB2,Adarb2,105,MGI:2151118,94191.0,,2.0
ADAT1,Adat1,23536,MGI:1353631,30947.0,,
ADAT2,Adat2,134637,MGI:1914007,66757.0,,
ADAT3,Adat3,113179,MGI:1924344,100113398.0,2.0,
ADCK1,Adck1,57143,MGI:1919363,72113.0,,0.0
ADCK2,Adck2,90956,MGI:1889336,57869.0,,2.0
ADCK5,Adck5,203054,MGI:2679274,268822.0,,0.0
ADCY1,Adcy1,107,MGI:99677,432530.0,0.0,1.0
ADCY10,Adcy10,55811,MGI:2660854,271639.0,1.0,1.0
ADCY2,Adcy2,108,MGI:99676,210044.0,,0.0
ADCY3,Adcy3,109,MGI:99675,104111.0,1.0,2.0
ADCY4,Adcy4,196883,MGI:99674,104110.0,,
ADCY5,Adcy5,111,MGI:99673,224129.0,1.0,1.0
ADCY6,Adcy6,112,MGI:87917,11512.0,1.0,1.0
ADCY7,Adcy7,113,MGI:102891,11513.0,,1.0
ADCY8,Adcy8,114,MGI:1341110,11514.0,,1.0
ADCY9,Adcy9,115,MGI:108450,11515.0,,2.0
ADCYAP1,Adcyap1,116,MGI:105094,11516.0,,2.0
ADCYAP1R1,Adcyap1r1,117,MGI:108449,11517.0,,1.0
ADD1,Add1,118,MGI:87918,11518.0,0.0,1.0
ADD2,Add2,119,MGI:87919,11519.0,,2.0
ADD3,Add3,120,MGI:1351615,27360.0,1.0,0.0
ADGB,Adgb,79747,MGI:3605549,215772.0,,2.0
ADGRA1,Adgra1,84435,MGI:1277167,52389.0,,1.0
ADGRA2,Adgra2,25960,MGI:1925810,78560.0,,2.0
ADGRA3,Adgra3,166647,MGI:1917943,70693.0,,
ADGRB1,Adgrb1,575,MGI:1933736,107831.0,,1.0
ADGRB2,Adgrb2,576,MGI:2451244,230775.0,,1.0
ADGRB3,Adgrb3,577,MGI:2441837,210933.0,,1.0
ADGRD1,Adgrd1,283383,MGI:3041203,243277.0,,1.0
ADGRE1,Adgre1,2015,MGI:106912,13733.0,,1.0
ADGRE4P,Adgre4,326342,MGI:1196464,52614.0,,
ADGRF1,Adgrf1,266977,MGI:1924846,77596.0,,
ADGRF2,Adgrf2,222611,MGI:2182728,435529.0,,
ADGRF3,Adgrf3,165082,MGI:2685887,381628.0,,
ADGRF4,Adgrf4,221393,MGI:1925499,78249.0,,1.0
ADGRF5,Adgrf5,221395,MGI:2182928,224792.0,,2.0
ADGRG1,Adgrg1,9289,MGI:1340051,14766.0,1.0,1.0
ADGRG2,Adgrg2,10149,MGI:2446854,237175.0,1.0,1.0
ADGRG3,Adgrg3,222487,MGI:1859670,54672.0,,1.0
ADGRG4,Adgrg4,139378,MGI:2685213,236798.0,,
ADGRG5,Adgrg5,221188,MGI:2685955,382045.0,,1.0
ADGRG6,Adgrg6,57211,MGI:1916151,215798.0,1.0,2.0
ADGRG7,Adgrg7,84873,MGI:2441732,239853.0,,1.0
ADGRL1,Adgrl1,22859,MGI:1929461,330814.0,1.0,1.0
ADGRL2,Adgrl2,23266,MGI:2139714,99633.0,,1.0
ADGRL3,Adgrl3,23284,MGI:2441950,319387.0,,1.0
ADGRL4,Adgrl4,64123,MGI:2655562,170757.0,,2.0
ADGRV1,Adgrv1,84059,MGI:1274784,110789.0,1.0,2.0
ADH4,Adh4,127,MGI:1349472,26876.0,,
ADH5,Adh5,128,MGI:87929,11532.0,1.0,1.0
ADH6,Adh6b,130,MGI:2446626,100417514.0,,
ADH7,Adh7,131,MGI:87926,11529.0,,1.0
ADHFE1,Adhfe1,137872,MGI:1923437,76187.0,,
ADI1,Adi1,55256,MGI:2144929,104923.0,,
ADIG,Adig,149685,MGI:2675492,246747.0,,1.0
ADIPOQ,Adipoq,9370,MGI:106675,11450.0,,2.0
ADIPOR1,Adipor1,51094,MGI:1919924,72674.0,,2.0
ADIPOR2,Adipor2,79602,MGI:93830,68465.0,,2.0
ADISSP,Adissp,54976,MGI:1914576,67326.0,,1.0
ADK,Adk,132,MGI:87930,11534.0,1.0,2.0
ADM,Adm,133,MGI:108058,11535.0,,2.0
ADM2,Adm2,79924,MGI:2675256,223780.0,,2.0
ADNP,Adnp,23394,MGI:1338758,11538.0,2.0,1.0
ADNP2,Adnp2,22850,MGI:2448562,240442.0,,2.0
ADO,Ado,84890,MGI:2685083,211488.0,,
ADORA1,Adora1,134,MGI:99401,11539.0,,2.0
ADORA2A,Adora2a,135,MGI:99402,11540.0,1.0,2.0
ADORA2B,Adora2b,136,MGI:99403,11541.0,,2.0
ADORA3,Adora3,140,MGI:104847,11542.0,,2.0
ADPGK,Adpgk,83440,MGI:1919391,72141.0,,1.0
ADPRH,Adprh,141,MGI:1098234,11544.0,,0.0
ADPRHL1,Adprhl1,113622,MGI:2442168,234072.0,,0.0
ADPRM,Adprm,56985,MGI:1913608,66358.0,,1.0
ADPRS,Adprs,54936,MGI:2140364,100206.0,1.0,1.0
ADRA1A,Adra1a,148,MGI:104773,11549.0,,1.0
ADRA1B,Adra1b,147,MGI:104774,11548.0,,2.0
ADRA1D,Adra1d,146,MGI:106673,11550.0,,1.0
ADRA2A,Adra2a,150,MGI:87934,11551.0,,2.0
ADRA2B,Adra2b,151,MGI:87935,11552.0,1.0,2.0
ADRA2C,Adra2c,152,MGI:87936,11553.0,,1.0
ADRB1,Adrb1,153,MGI:87937,11554.0,,1.0
ADRB2,Adrb2,154,MGI:87938,11555.0,1.0,2.0
ADRB3,Adrb3,155,MGI:87939,11556.0,,1.0
ADSL,Adsl,158,MGI:103202,11564.0,1.0,1.0
ADSS1,Adssl1,122622,MGI:87947,11565.0,1.0,
ADSS2,Adss,159,MGI:87948,11566.0,,1.0
ADTRP,Adtrp,84830,MGI:1924596,109254.0,,1.0
AEBP1,Aebp1,165,MGI:1197012,11568.0,1.0,2.0
AEBP2,Aebp2,121536,MGI:1338038,11569.0,,1.0
AEN,Aen,64782,MGI:1915298,68048.0,,
AFAP1,Afap1,60312,MGI:1917542,70292.0,,1.0
AFAP1L1,Afap1l1,134265,MGI:2147199,106877.0,,
AFAP1L2,Afap1l2,84632,MGI:2147658,226250.0,,2.0
AFDN,Afdn,4301,MGI:1314653,17356.0,,2.0
AFF1,Aff1,4299,MGI:1100819,17355.0,,2.0
AFF2,Aff2,2334,MGI:1202294,14266.0,1.0,1.0
AFF3,Aff3,3899,MGI:106927,16764.0,1.0,2.0
AFF4,Aff4,27125,MGI:2136171,93736.0,2.0,2.0
AFG1L,Afg1l,246269,MGI:2148801,215951.0,,
AFG3L1P,Afg3l1,172,MGI:1928277,114896.0,,2.0
AFG3L2,Afg3l2,10939,MGI:1916847,69597.0,1.0,2.0
AFM,Afm,173,MGI:2429409,280662.0,,1.0
AFMID,Afmid,125061,MGI:2448704,71562.0,,1.0
AFP,Afp,174,MGI:87951,11576.0,0.0,1.0
AFTPH,Aftph,54812,MGI:1923012,216549.0,,1.0
AGA,Aga,175,MGI:104873,11593.0,2.0,2.0
AGAP2,Agap2,116986,MGI:3580016,216439.0,,1.0
AGAP3,Agap3,116988,MGI:2183446,213990.0,,1.0
AGBL1,Agbl1,123624,MGI:3646469,244071.0,1.0,1.0
AGBL2,Agbl2,79841,MGI:2443254,271813.0,,
AGBL3,Agbl3,340351,MGI:1923473,76223.0,,
AGBL4,Agbl4,84871,MGI:1918244,78933.0,,1.0
AGBL5,Agbl5,60509,MGI:2441745,231093.0,1.0,1.0
AGER,Ager,177,MGI:893592,11596.0,,2.0
AGFG1,Agfg1,3267,MGI:1333754,15463.0,,1.0
AGFG2,Agfg2,3268,MGI:2443267,231801.0,,0.0
AGGF1,Aggf1,55109,MGI:1913799,66549.0,1.0,2.0
AGK,Agk,55750,MGI:1917173,69923.0,1.0,1.0
AGL,Agl,178,MGI:1924809,77559.0,1.0,2.0
AGMAT,Agmat,79814,MGI:1923236,75986.0,,
AGMO,Agmo,392636,MGI:2442495,319660.0,,0.0
AGO1,Ago1,26523,MGI:2446630,236511.0,,1.0
AGO2,Ago2,27161,MGI:2446632,239528.0,1.0,2.0
AGO3,Ago3,192669,MGI:2446634,214150.0,,0.0
AGO4,Ago4,192670,MGI:1924100,76850.0,,1.0
AGPAT1,Agpat1,10554,MGI:1932075,55979.0,,2.0
AGPAT2,Agpat2,10555,MGI:1914762,67512.0,2.0,2.0
AGPAT3,Agpat3,56894,MGI:1336186,28169.0,,2.0
AGPAT4,Agpat4,56895,MGI:1915512,68262.0,,1.0
AGPAT5,Agpat5,55326,MGI:1196345,52123.0,,1.0
AGPS,Agps,8540,MGI:2443065,228061.0,1.0,1.0
AGR2,Agr2,10551,MGI:1344405,23795.0,,2.0
AGR3,Agr3,155465,MGI:2685734,403205.0,,
AGRN,Agrn,375790,MGI:87961,11603.0,1.0,2.0
AGRP,Agrp,181,MGI:892013,11604.0,,2.0
AGT,Agt,183,MGI:87963,11606.0,1.0,2.0
AGTPBP1,Agtpbp1,23287,MGI:2159437,67269.0,1.0,2.0
AGTR2,Agtr2,186,MGI:87966,11609.0,,2.0
AGTRAP,Agtrap,57085,MGI:1339977,11610.0,,1.0
AGXT,Agxt,189,MGI:1329033,11611.0,1.0,1.0
