entrez_id_human,entrez_id_mouse,pleiotropy_HPO,pleiotropy_MPO,oe_lof_upper,pLI,mis_z
116983,140500.0,,0.0,0.586,4.4135e-06,1.6713
38,110446.0,1.0,,1.051,9.8525e-08,0.90559
64746,170760.0,,1.0,0.539,0.010653,1.823
79777,67131.0,,,0.926,1.0857e-06,0.29841
91452,74159.0,1.0,2.0,0.529,0.006148,0.87301
84320,72482.0,,,1.129,2.2569e-06,0.10713
414149,78245.0,,,1.19,0.11605,0.03208
84680,329470.0,,,0.839,8.9836e-07,0.22645
390110,381411.0,,,1.316,8.5206e-18,0.26436
65057,497652.0,1.0,2.0,1.187,1.1148e-12,-0.48611
1636,11421.0,1.0,2.0,1.081,1.0344e-37,-0.69323
59272,70008.0,,2.0,0.25,0.99769,1.2455
100129123,217246.0,,,,,
125981,171168.0,,2.0,1.002,0.0021705,0.45099
340485,230379.0,,1.0,0.695,0.040225,-0.37351
55331,66190.0,1.0,1.0,0.388,0.87464,1.8012
43,11423.0,,2.0,0.207,0.99827,2.7523
22985,56215.0,,,0.201,1.0,2.2011
2532,13349.0,,1.0,,,
1238,59289.0,,1.0,1.47,0.001388,0.26347
57007,12778.0,0.0,2.0,0.682,0.39134,0.94571
51554,252837.0,,1.0,1.803,2.9962e-09,0.84358
47,104112.0,,0.0,0.377,0.083556,3.2841
130013,266645.0,,1.0,1.116,1.392e-08,0.010511
48,11428.0,,1.0,0.932,3.8322e-18,0.91861
50,11429.0,1.0,0.0,0.417,0.20791,2.9201
730249,16365.0,,1.0,,,
26027,329910.0,,1.0,1.082,1.0844e-16,0.53887
134526,74156.0,,1.0,1.087,2.7282e-14,0.047059
55856,66834.0,,1.0,1.936,3.1271e-06,0.09541
122970,171282.0,,,1.655,1.0412e-08,0.11333
641372,217700.0,,,1.631,0.0035327,1.1829
11332,70025.0,,1.0,0.434,0.75926,1.9837
10005,170789.0,,,1.001,5.9662e-06,0.12376
51,11430.0,1.0,2.0,0.462,0.062095,1.9819
8309,93732.0,1.0,1.0,0.87,2.1841e-10,0.50188
8310,80911.0,,0.0,1.063,7.6016e-16,-0.44494
55289,74121.0,,2.0,1.097,5.2479e-15,1.023
52,11431.0,,1.0,1.802,1.7531e-08,-0.24852
53,11432.0,,2.0,0.753,6.2383e-05,0.82592
55,56318.0,,1.0,,,
93650,100503991.0,1.0,1.0,,,
54,11433.0,2.0,1.0,0.724,0.078651,0.40019
51205,66659.0,,1.0,1.387,2.3344e-13,0.67767
390928,101744.0,,,,,
49,11434.0,,1.0,0.88,0.012215,0.44696
84519,54137.0,,1.0,0.934,2.6954e-10,0.73439
56,11451.0,,,1.427,1.2111e-06,0.89185
23205,94180.0,,1.0,0.605,3.959e-05,1.8305
81616,328845.0,,1.0,0.916,1.0757e-10,0.22
80221,264895.0,,1.0,0.654,1.4241e-05,1.981
197322,257633.0,1.0,,1.772,2.3246e-26,-1.3005
2180,14081.0,,1.0,0.476,0.0015324,1.4037
2181,74205.0,,1.0,0.55,0.00034758,2.0117
2182,50790.0,1.0,2.0,0.306,0.98103,2.5909
51703,433256.0,,2.0,0.727,2.8888e-09,0.71717
23305,216739.0,,1.0,0.475,0.0032201,1.7583
116285,117147.0,,,1.074,2.2841e-15,0.20392
6296,20216.0,,,1.055,1.441e-14,0.45569
341392,233801.0,,1.0,1.236,4.0476000000000003e-19,0.90845
54988,272428.0,,,1.258,1.1745e-18,-0.62098
84532,68738.0,,1.0,0.759,3.0776e-07,1.8341
55902,60525.0,,,0.903,1.1443e-13,1.0825
79611,380660.0,,,0.951,5.0483e-13,0.14647
58,11459.0,2.0,2.0,1.223,1.1385e-06,4.5292
59,11475.0,1.0,1.0,0.364,0.93017,3.1995
60,11461.0,2.0,2.0,0.232,0.98564,5.0206
345651,238880.0,,,1.946,5.8166e-16,-0.35507
70,11464.0,1.0,1.0,0.48,0.73668,4.5244
399923,102636989.0,,,,,
71,11465.0,1.0,2.0,0.858,0.0047837,3.16
72,11468.0,2.0,1.0,0.628,0.071036,3.3487
170487,70362.0,,0.0,1.405,0.08052,-0.34803
389120,67722.0,,,,,
86,56456.0,,1.0,0.246,0.99665,2.9398
51412,83766.0,1.0,1.0,0.645,0.00028347,3.2738
10881,11470.0,,1.0,1.333,5.1316e-07,0.17962
10880,11471.0,,1.0,1.571,2.4547e-06,0.51107
284382,69481.0,0.0,1.0,1.137,0.0040543,0.13088
284325,414069.0,,1.0,,,
87,109711.0,1.0,,0.213,0.99997,3.3621
88,11472.0,2.0,,0.239,0.99968,1.2925
89,11474.0,,1.0,,,
81,60595.0,1.0,2.0,0.099,1.0,4.1552
55860,56444.0,,,0.658,0.0015053,1.1669
10121,54130.0,,,0.327,0.96621,3.0266
10120,226977.0,,,0.684,0.0010746,1.0434
10097,66713.0,,0.0,0.195,0.99896,3.6696
10096,74117.0,,1.0,0.118,0.99986,3.6093
57180,242894.0,,1.0,0.192,0.99911,2.9731
79913,109275.0,,1.0,1.006,1.1352e-09,0.40541
64431,67019.0,,1.0,1.083,5.4629e-09,1.8929
93973,56249.0,,1.0,0.988,5.4097e-15,1.2321
139741,73360.0,,1.0,1.611,0.0037403,-1.2444
140625,73353.0,,,1.377,0.0004766,-0.40324
84517,76652.0,,1.0,1.71,3.7565e-08,0.22425
90,11477.0,1.0,2.0,0.454,0.3254,2.3371
91,11479.0,,2.0,0.172,0.99969,3.3735
130399,269275.0,,1.0,0.634,0.00085157,1.4993
92,11480.0,,2.0,0.17,0.99972,3.2896
93,11481.0,1.0,2.0,0.377,0.83412,2.0429
94,11482.0,1.0,2.0,0.692,0.00096719,2.4458
95,109652.0,1.0,1.0,1.063,6.9169e-09,0.095076
91703,71670.0,,1.0,1.426,5.4152e-06,-0.05848
97,66204.0,,1.0,1.486,0.070318,0.56831
98,75572.0,,,1.836,6.5331e-05,-0.51232
100,11486.0,2.0,2.0,1.321,2.8825e-12,0.11775
132612,21744.0,,1.0,0.511,0.038952,0.8953
161931,75773.0,,1.0,1.144,2.3904e-12,-2.3586
161823,75894.0,,1.0,1.174,1.6257e-06,1.1761
102,11487.0,0.0,2.0,0.117,1.0,3.3058
4185,11488.0,,0.0,0.531,1.0387e-05,2.6264
8038,11489.0,,1.0,0.594,5.7284e-07,1.2679
8751,11490.0,,1.0,0.864,2.4409e-16,1.0693
6868,11491.0,1.0,2.0,0.28,0.99528,2.451
8749,13524.0,,0.0,1.569,6.8847e-35,-0.57884
8728,11492.0,,1.0,0.501,6.8e-05,1.8832
8759,280668.0,,1.0,,,
100420505,280667.0,,,,,
2515,11495.0,,1.0,1.176,1.8889e-22,-0.65123
8747,56622.0,,,1.43,3.5771e-12,0.31119
53616,11496.0,1.0,1.0,0.363,0.25101,2.3402
8745,23792.0,,1.0,0.275,0.99709,1.8992
646479,13526.0,,0.0,,,
10863,13522.0,,1.0,1.162,2.9634000000000002e-24,-0.91545
11086,244486.0,,,,,-0.20573
11085,71078.0,,,,,0.4334
203102,353188.0,,1.0,0.922,2.1571e-15,0.28881
80332,110751.0,,0.0,0.922,2.1487e-15,0.68787
1587,11497.0,,0.0,,,
255926,11499.0,,1.0,,,
8755,238406.0,,,,,
8756,11500.0,,1.0,1.031,1.1927000000000002e-19,-0.50503
101,11501.0,,1.0,0.926,2.1983e-14,0.38049
8754,11502.0,1.0,1.0,0.417,0.029431,1.9036
27299,58860.0,,1.0,1.288,3.6295e-16,-0.085424
9510,11504.0,,2.0,0.367,0.71601,0.66702
81794,224697.0,1.0,1.0,0.33,0.84288,3.628
81792,239337.0,,1.0,0.688,2.4806e-17,0.97964
11093,279028.0,1.0,1.0,0.683,5.1409e-15,1.5614
140766,237360.0,,2.0,0.709,4.7565e-14,0.29483
170689,235130.0,,1.0,0.719,1.6672e-06,0.50802
170690,271127.0,,2.0,0.431,0.00044629,0.40755
170691,233332.0,1.0,2.0,0.732,2.802e-15,-1.3894
170692,208936.0,1.0,2.0,0.928,1.0716e-29,-3.5082
171019,240322.0,1.0,0.0,0.537,5.9648e-08,2.1002
9509,216725.0,2.0,2.0,0.311,0.9661,1.4291
80070,223838.0,,2.0,0.834,4.4533999999999996e-38,-0.6856
9508,330119.0,2.0,2.0,0.604,1.0278e-10,0.54521
9507,240913.0,,1.0,0.71,1.9501e-06,1.1548
11096,23794.0,,1.0,0.703,8.0325e-07,0.76822
11174,108154.0,,2.0,0.22,0.99998,3.088
11173,108153.0,,1.0,0.646,2.2517e-14,0.71148
11095,30806.0,,,0.909,1.1981e-10,0.51838
56999,101401.0,,2.0,0.39,1.0004e-06,0.95461
92949,77739.0,1.0,,0.531,3.1241e-12,-0.97016
9719,77794.0,2.0,1.0,0.735,0.0016001,1.2469
57188,269959.0,,2.0,0.647,1.3662000000000002e-19,0.4755
54507,229595.0,1.0,1.0,1.093,2.6008e-28,0.079961
339366,66548.0,,1.0,1.151,3.7025e-11,-0.45176
11033,231821.0,,1.0,0.439,0.5333,0.88817
55803,216991.0,,,1.078,4.2394e-10,0.80306
103,56417.0,2.0,2.0,0.42,0.026282,2.2714
104,110532.0,1.0,1.0,0.399,0.80347,3.5179
105,94191.0,,2.0,0.382,0.85603,1.7325
23536,30947.0,,,1.187,2.5388e-13,-1.4665
134637,66757.0,,,1.57,1.007e-07,0.88027
113179,100113398.0,2.0,,1.459,0.0056059,-0.42211
57143,72113.0,,0.0,1.283,9.4776e-15,-0.30477
90956,57869.0,,2.0,0.92,3.6479e-07,0.91922
203054,268822.0,,0.0,0.588,0.0043693,2.1802
107,432530.0,0.0,1.0,0.272,0.99747,4.3801
55811,271639.0,1.0,1.0,1.034,7.383400000000001e-41,0.45524
108,210044.0,,0.0,0.261,0.99898,4.2471
109,104111.0,1.0,2.0,0.681,1.9545e-11,2.5726
196883,104110.0,,,0.892,1.0791e-18,1.4259
111,224129.0,1.0,1.0,0.254,0.99928,3.4043
112,11512.0,1.0,1.0,0.442,0.0058268,2.6826
113,11513.0,,1.0,0.552,9.4815e-07,1.7741
114,11514.0,,1.0,0.535,1.7766e-06,1.5705
115,11515.0,,2.0,0.306,0.97943,1.2457
116,11516.0,,2.0,0.752,0.52424,-0.43277
117,11517.0,,1.0,0.866,7.2275e-10,1.3913
118,11518.0,0.0,1.0,0.296,0.9883,0.80446
119,11519.0,,2.0,0.274,0.9961,2.0977
120,27360.0,1.0,0.0,0.246,0.9988,0.3296
79747,215772.0,,2.0,0.78,3.7200999999999996e-22,0.59309
84435,52389.0,,1.0,,,
25960,78560.0,,2.0,,,
166647,70693.0,,,,,
575,107831.0,,1.0,,,
576,230775.0,,1.0,,,
577,210933.0,,1.0,,,
283383,243277.0,,1.0,,,
2015,13733.0,,1.0,,,
326342,52614.0,,,,,
266977,77596.0,,,,,
222611,435529.0,,,,,
165082,381628.0,,,,,
221393,78249.0,,1.0,,,
221395,224792.0,,2.0,,,
9289,14766.0,1.0,1.0,,,
10149,237175.0,1.0,1.0,,,
222487,54672.0,,1.0,,,
139378,236798.0,,,,,
221188,382045.0,,1.0,,,
57211,215798.0,1.0,2.0,,,
84873,239853.0,,1.0,,,
22859,330814.0,1.0,1.0,,,
23266,99633.0,,1.0,,,
23284,319387.0,,1.0,,,
64123,170757.0,,2.0,,,
84059,110789.0,1.0,2.0,,,
127,26876.0,,,1.27,8.0684e-07,0.032493
128,11532.0,1.0,1.0,1.562,2.5356e-11,1.0261
130,100417514.0,,,1.173,1.6373e-06,0.59537
131,11529.0,,1.0,1.617,1.5123e-11,-0.61289
137872,76187.0,,,1.045,8.5168e-09,-0.061194
55256,104923.0,,,1.687,3.1509e-05,0.19879
149685,246747.0,,1.0,,,
9370,11450.0,,2.0,1.906,4.6434e-09,-0.13118
51094,72674.0,,2.0,0.469,0.6584,2.8221
79602,68465.0,,2.0,0.518,0.36218,2.6533
54976,67326.0,,1.0,,,
132,11534.0,1.0,2.0,0.798,0.00031276,1.5049
133,11535.0,,2.0,1.162,0.040831,-0.10735
79924,223780.0,,2.0,1.483,0.020009,0.10976
23394,11538.0,2.0,1.0,0.123,1.0,2.0722
22850,240442.0,,2.0,0.392,0.69573,0.34013
84890,211488.0,,,0.81,0.48027,1.6131
134,11539.0,,2.0,1.1,0.015215,2.2679
135,11540.0,1.0,2.0,0.551,0.5971,1.5203
136,11541.0,,2.0,1.485,1.7674e-05,-0.055228
140,11542.0,,2.0,1.066,0.0001441,-0.20793
83440,72141.0,,1.0,0.715,0.0052215,1.0156
141,11544.0,,0.0,1.283,2.991e-06,0.20019
113622,234072.0,,0.0,1.374,3.491e-11,0.33993
56985,66358.0,,1.0,1.107,0.00039545,1.0053
54936,100206.0,1.0,1.0,,,
148,11549.0,,1.0,1.393,3.3722e-07,-0.013065
147,11548.0,,2.0,0.785,0.13541,1.1798
146,11550.0,,1.0,1.314,4.0117e-05,0.60095
150,11551.0,,2.0,1.231,0.00081816,1.7995
151,11552.0,1.0,2.0,1.221,4.4533e-06,0.36561
152,11553.0,,1.0,0.605,0.50159,1.6407
153,11554.0,,1.0,1.542,2.8786e-06,1.6999
154,11555.0,1.0,2.0,0.591,0.52545,1.347
155,11556.0,,1.0,1.683,2.4637e-07,0.40578
158,11564.0,1.0,1.0,1.071,8.9207e-12,0.80287
122622,11565.0,1.0,,,,
159,11566.0,,1.0,,,
84830,109254.0,,1.0,1.365,4.0967e-07,0.17822
165,11568.0,1.0,2.0,0.64,7.3471e-11,1.0007
121536,11569.0,,1.0,0.145,0.99921,2.2141
64782,68048.0,,,1.878,2.0092e-10,-0.0046399
60312,70292.0,,1.0,0.665,2.3828e-07,-0.90889
134265,106877.0,,,0.886,4.9556e-14,1.0291
84632,226250.0,,2.0,0.487,0.0021581,0.65444
4301,17356.0,,2.0,,,
4299,17355.0,,2.0,0.347,0.71038,-0.40638
2334,14266.0,1.0,1.0,0.275,0.99577,1.4119
3899,16764.0,1.0,2.0,0.221,0.99996,1.7128
27125,93736.0,2.0,2.0,0.138,1.0,2.4744
246269,215951.0,,,,,
172,114896.0,,2.0,,,
10939,69597.0,1.0,2.0,0.7,5.2511e-09,1.988
173,280662.0,,1.0,1.304,4.2654e-19,-0.57827
125061,71562.0,,1.0,1.099,4.4977e-09,0.12363
174,11576.0,0.0,1.0,0.909,1.1383e-11,0.18544
54812,216549.0,,1.0,0.141,0.99997,0.69187
175,11593.0,2.0,2.0,1.044,4.2802e-06,-0.44524
116986,216439.0,,1.0,0.267,0.99816,3.3883
116988,213990.0,,1.0,0.335,0.91091,2.9915
123624,244071.0,1.0,1.0,1.142,1.4377000000000002e-30,-2.2334
79841,271813.0,,,0.893,3.9622e-16,1.1714
340351,76223.0,,,1.035,4.1796e-16,1.9232
84871,78933.0,,1.0,0.761,2.4767e-06,1.3153
60509,231093.0,1.0,1.0,0.679,2.3696e-08,1.2926
177,11596.0,,2.0,1.346,6.3528e-16,0.088287
3267,15463.0,,1.0,0.278,0.99276,1.6605
3268,231801.0,,0.0,0.821,0.00025383,0.89017
55109,66549.0,1.0,2.0,0.583,2.7334e-05,0.16632
55750,69923.0,1.0,1.0,0.878,5.9973e-09,0.75506
178,77559.0,1.0,2.0,0.795,2.7564e-27,-0.46134
79814,75986.0,,,1.539,1.2369e-07,0.80464
392636,319660.0,,0.0,1.705,6.7791e-26,-2.5645
26523,236511.0,,1.0,0.057,1.0,5.6761
27161,239528.0,1.0,2.0,0.106,1.0,6.0576
192669,214150.0,,0.0,0.193,0.99997,5.2591
192670,76850.0,,1.0,0.218,0.9999,3.7941
10554,55979.0,,2.0,0.307,0.97215,2.6081
10555,67512.0,2.0,2.0,1.539,1.236e-07,-0.72172
56894,28169.0,,2.0,0.142,0.99933,2.5373
56895,68262.0,,1.0,0.534,0.1021,2.2277
55326,52123.0,,1.0,0.979,7.0782e-06,-1.6638
8540,228061.0,1.0,1.0,0.117,1.0,3.2294
10551,23795.0,,2.0,1.582,9.2381e-08,0.84427
155465,403205.0,,,1.976,2.2088e-19,-0.89672
375790,11603.0,1.0,2.0,0.435,5.4727e-07,0.22552
181,11604.0,,2.0,1.68,0.00069912,0.44936
183,11606.0,1.0,2.0,1.445,4.9706e-08,-0.19921
23287,67269.0,1.0,2.0,0.351,0.42151,2.011
186,11609.0,,2.0,1.312,0.0082345,-0.072329
57085,11610.0,,1.0,0.951,0.18842,0.45019
189,11611.0,1.0,1.0,1.028,1.2332e-07,-0.26789
64902,268782.0,,1.0,1.692,3.7107999999999997e-28,-0.6613
25909,226747.0,,1.0,0.129,1.0,-0.3814
10768,229709.0,,1.0,0.281,0.99429,4.0174
23382,74340.0,,,0.29,0.99127,2.7392
27245,230793.0,1.0,,0.076,1.0,2.8589
54806,52906.0,2.0,2.0,0.95,1.0773e-25,-0.034571
79026,66395.0,,1.0,0.308,0.89827,-2.9677
113146,100041194.0,,,1.01,0.00064799,-12.234
196,11622.0,1.0,2.0,0.154,0.99999,0.73492
57491,11624.0,,1.0,0.75,0.00018111,0.48486
10598,217737.0,,1.0,0.15,0.99896,1.6949
130872,268390.0,,0.0,,,
197,11625.0,1.0,1.0,1.662,3.209e-10,-0.3645
51327,170812.0,,1.0,1.956,0.0003287,-0.24819
57379,11628.0,1.0,2.0,1.329,9.2098e-06,1.3381
64853,108909.0,,1.0,0.88,0.00015469,0.9551
199,11629.0,,2.0,1.619,1.8793e-06,0.2161
83543,108897.0,,1.0,1.02,0.0063739,0.29855
9131,26926.0,1.0,2.0,0.234,0.99795,2.4941
84883,71361.0,,0.0,1.083,1.1064e-05,0.32029
150209,72168.0,,0.0,0.988,1.9474e-14,0.99755
51390,66253.0,,0.0,1.383,3.6161e-07,0.22205
9447,383619.0,,2.0,1.636,2.1942e-09,0.60074
9255,13722.0,1.0,2.0,1.216,3.0411e-07,-0.20677
7965,231872.0,1.0,0.0,0.967,0.008024,-0.84921
9049,11632.0,2.0,2.0,0.518,0.36163,0.93007
23746,114230.0,1.0,1.0,1.069,1.222e-05,0.079361
326,11634.0,2.0,2.0,1.115,4.0468e-12,-0.0020562
100271873,104103.0,,1.0,,,
55966,230959.0,,1.0,0.192,0.99469,0.93643
389813,381353.0,,,,,
84962,16475.0,,1.0,0.401,0.79717,2.2495
203,11636.0,0.0,1.0,0.937,0.027319,0.64892
204,11637.0,1.0,1.0,1.223,6.2706e-05,0.071844
50808,56248.0,,0.0,1.391,0.0001135,-1.9661
205,11639.0,,,0.788,0.13353,1.2309
26289,229949.0,,,0.558,0.0033057,2.1496
102157402,102216272.0,,,,,
122481,78801.0,0.0,2.0,0.853,3.0553e-13,0.48664
158067,68870.0,,0.0,1.19,2.0053e-11,0.7139
221264,633979.0,1.0,,0.738,3.6869999999999997e-26,2.1941
642597,320722.0,,,,,
8165,11640.0,,0.0,0.373,0.74238,1.18
11216,56697.0,,1.0,0.441,0.10782,1.351
11215,219181.0,,2.0,0.3,0.97878,0.31287
9590,83397.0,,2.0,0.426,0.035666,0.5749
11214,75547.0,,2.0,0.294,0.92909,-1.6419
158798,434756.0,,,0.612,0.65829,0.66976
10566,11642.0,,1.0,0.528,0.056438,0.4677
8852,11643.0,,1.0,0.246,0.99323,0.78353
9495,238276.0,,1.0,0.522,0.65191,1.1724
9472,238161.0,,1.0,0.253,0.99983,-0.04269
9465,432442.0,,0.0,1.222,2.8942e-07,0.16814
10270,56399.0,,1.0,0.397,0.66425,2.952e-05
26993,54194.0,,1.0,0.468,0.028839,1.0339
10142,100986.0,1.0,2.0,0.404,4.5249e-17,-0.12754
56672,57373.0,,1.0,1.576,1.1363e-05,-0.42874
79647,68050.0,,,0.496,0.79347,0.50106
55122,433693.0,,0.0,0.376,0.92355,1.3047
80709,100182.0,,1.0,0.454,0.00012945,-0.12941
254268,329738.0,,,1.231,3.6153e-23,-0.05654
10327,58810.0,,2.0,1.121,6.6621e-07,-0.021182
231,11677.0,,1.0,0.997,2.0216e-05,0.40479
6718,208665.0,1.0,1.0,1.127,1.7175e-07,0.17215
83592,56043.0,,,1.419,2.0973e-11,-0.31374
207,11651.0,2.0,2.0,0.315,0.9759,3.4778
84335,67605.0,,1.0,0.834,0.111,0.64229
208,11652.0,1.0,2.0,0.417,0.64432,2.4133
10000,23797.0,1.0,2.0,0.178,0.99958,3.946
64400,14339.0,,2.0,0.504,0.40379,1.7392
210,17025.0,1.0,2.0,0.868,5.6185e-05,1.231
211,11655.0,,1.0,0.49,0.10979,1.1853
212,11656.0,1.0,1.0,0.184,0.99586,2.3698
213,11657.0,2.0,2.0,0.387,0.64329,0.65574
214,11658.0,,1.0,0.386,0.73267,0.99267
126133,69748.0,,1.0,1.076,2.3658e-20,-0.42248
5832,56454.0,2.0,1.0,0.519,0.00081212,1.9663
8854,19378.0,1.0,2.0,0.447,0.36331,1.4383
220,56847.0,1.0,2.0,0.511,0.14128,2.2359
