	gene_human	entrez_id_human	gene_mouse	MGI	MP
88	ABHD14A	25864	Abhd14a	MGI:1915894	MP:0005376
89	ABHD14B	84836	Abhd14b	MGI:1923741	
90	ABHD15	116236	Abhd15	MGI:1914727	MP:0005386, MP:0005391
91	ABHD16A	7920	Abhd16a	MGI:99476	MP:0005375, MP:0005376, MP:0005378, MP:0005387, MP:0005389, MP:0005397, MP:0010768
92	ABHD16B	140701	Abhd16b	MGI:3607711	
93	ABHD17A	81926	Abhd17a	MGI:106388	MP:0005376
94	ABHD17B	51104	Abhd17b	MGI:1917816	MP:0005386, MP:0005391
95	ABHD17C	58489	Abhd17c	MGI:1917428	MP:0005367, MP:0005370, MP:0005378, MP:0005385, MP:0005387, MP:0005391, MP:0005397, MP:0010771
96	ABHD18	80167	Abhd18	MGI:1915468	
97	ABHD2	11057	Abhd2	MGI:1914344	MP:0005376, MP:0005379, MP:0005384, MP:0005385, MP:0005389
98	ABHD3	171586	Abhd3	MGI:2147183	
99	ABHD4	63874	Abhd4	MGI:1915938	MP:0005376, MP:0005386
100	ABHD5	51099	Abhd5	MGI:1914719	MP:0005369, MP:0005370, MP:0005376, MP:0005378, MP:0005379, MP:0005382, MP:0005384, MP:0005385, MP:0005387, MP:0005389, MP:0005390, MP:0005397, MP:0010768, MP:0010771
101	ABHD6	57406	Abhd6	MGI:1913332	MP:0005369, MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005379, MP:0005384, MP:0005386
102	ABHD8	79575	Abhd8	MGI:1918946	MP:0005375, MP:0005376, MP:0005378, MP:0005386, MP:0010768, MP:0010771
103	ABI1	10006	Abi1	MGI:104913	MP:0003631, MP:0005369, MP:0005376, MP:0005378, MP:0005380, MP:0005385, MP:0010768
104	ABI2	10152	Abi2	MGI:106913	MP:0001186, MP:0003631, MP:0005367, MP:0005376, MP:0005379, MP:0005386, MP:0005389, MP:0005391
105	ABI3	51225	Abi3	MGI:1913860	
106	ABI3BP	25890	Abi3bp	MGI:2444583	MP:0005369, MP:0005376, MP:0005384, MP:0005385, MP:0005386, MP:0010768
107	ABITRAM	54942	Abitram	MGI:2677850	MP:0005369, MP:0005385, MP:0005390, MP:0005391
108	ABL1	25	Abl1	MGI:87859	MP:0002006, MP:0003631, MP:0005369, MP:0005370, MP:0005376, MP:0005378, MP:0005379, MP:0005381, MP:0005382, MP:0005384, MP:0005385, MP:0005387, MP:0005388, MP:0005390, MP:0005391, MP:0005397, MP:0010768
109	ABL2	27	Abl2	MGI:87860	MP:0003631, MP:0005378, MP:0005386, MP:0005389
110	ABLIM1	3983	Ablim1	MGI:1194500	
111	ABLIM2	84448	Ablim2	MGI:2385758	MP:0005386
112	ABLIM3	22885	Ablim3	MGI:2442582	MP:0005386, MP:0005387, MP:0005391, MP:0005397
113	ABO	28	Abo	MGI:2135738	MP:0005379, MP:0005389, MP:0010771
114	ABR	29	Abr	MGI:107771	
115	ABRA	137735	Abra	MGI:2444891	MP:0005376, MP:0005385
116	ABRACL	58527	Abracl	MGI:1920362	
117	ABRAXAS1	84142	Abraxas1	MGI:1917931	MP:0002006, MP:0005376, MP:0005384, MP:0005388, MP:0010768
118	ABRAXAS2	23172	Abraxas2	MGI:1926116	
119	ABT1	29777	Abt1	MGI:1353636	
120	ABTB1	80325	Abtb1	MGI:1933148	MP:0005376, MP:0005378, MP:0005385, MP:0005387, MP:0005397, MP:0010771
121	ABTB2	25841	Abtb2	MGI:2139365	MP:0005370, MP:0005386, MP:0005387, MP:0005397, MP:0010768
122	ABTB3	121551	Abtb3	MGI:1921257	
123	ACAA1	30	Acaa1a	MGI:2148491	
124	ACAA1	30	Acaa1b	MGI:3605455	
125	ACAA2	10449	Acaa2	MGI:1098623	
126	ACACA	31	Acaca	MGI:108451	MP:0005370, MP:0005376, MP:0005378, MP:0005380, MP:0005387, MP:0005397, MP:0010768
127	ACACB	32	Acacb	MGI:2140940	MP:0005369, MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005384, MP:0005385, MP:0005386, MP:0010771
128	ACAD10	80724	Acad10	MGI:1919235	MP:0005387, MP:0005397
129	ACAD10	80724	Acad12	MGI:2443320	MP:0005376
130	ACAD11	84129	Acad11	MGI:2143169	MP:0005377, MP:0005385, MP:0005386
131	ACAD8	27034	Acad8	MGI:1914198	MP:0005367, MP:0005370, MP:0005375, MP:0005376, MP:0005384
132	ACAD9	28976	Acad9	MGI:1914272	MP:0005369, MP:0005376, MP:0005384, MP:0005385, MP:0005386, MP:0010768
133	ACADL	33	Acadl	MGI:87866	MP:0005367, MP:0005370, MP:0005376, MP:0005385, MP:0005389, MP:0010768
134	ACADM	34	Acadm	MGI:87867	MP:0005369, MP:0005370, MP:0005376, MP:0005385, MP:0005386, MP:0010768, MP:0010771
135	ACADS	35	Acads	MGI:87868	MP:0005367, MP:0005369, MP:0005370, MP:0005376, MP:0005384, MP:0005386
136	ACADSB	36	Acadsb	MGI:1914135	MP:0005386, MP:0005391
137	ACADVL	37	Acadvl	MGI:895149	MP:0002006, MP:0005369, MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005384, MP:0005385, MP:0005386, MP:0010768
138	ACAN	176	Acan	MGI:99602	MP:0003631, MP:0005369, MP:0005370, MP:0005371, MP:0005376, MP:0005377, MP:0005378, MP:0005381, MP:0005382, MP:0005385, MP:0005386, MP:0005387, MP:0005388, MP:0005390, MP:0010768
139	ACAP1	9744	Acap1	MGI:2388270	MP:0005376
140	ACAP2	23527	Acap2	MGI:1925868	MP:0005386
141	ACAP3	116983	Acap3	MGI:2153589	MP:0005378
142	ACAT1	38	Acat1	MGI:87870	
143	ACAT2	39	Acat2	MGI:87871	MP:0005376, MP:0005378, MP:0005380, MP:0005386, MP:0010768
144	ACAT2	39	Acat3	MGI:109182	
145	ACBD3	64746	Acbd3	MGI:2181074	MP:0005376, MP:0005386, MP:0005397, MP:0010768
146	ACBD4	79777	Acbd4	MGI:1914381	
147	ACBD5	91452	Acbd5	MGI:1921409	MP:0003631, MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005384, MP:0005386, MP:0005387, MP:0005389, MP:0005390, MP:0005391, MP:0005397
148	ACBD6	84320	Acbd6	MGI:1919732	
149	ACBD7	414149	Acbd7	MGI:1925495	
150	ACCS	84680	Accs	MGI:1919717	
151	ACCSL	390110	Accsl	MGI:3584519	
152	ACD	65057	Acd	MGI:87873	MP:0001186, MP:0002006, MP:0005367, MP:0005371, MP:0005376, MP:0005377, MP:0005378, MP:0005379, MP:0005381, MP:0005382, MP:0005384, MP:0005386, MP:0005389, MP:0010768, MP:0010771
153	ACE	1636	Ace	MGI:87874	MP:0005367, MP:0005375, MP:0005376, MP:0005378, MP:0005379, MP:0005380, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005389, MP:0005397, MP:0010768
154	ACE2	59272	Ace2	MGI:1917258	MP:0001186, MP:0005369, MP:0005376, MP:0005378, MP:0005381, MP:0005384, MP:0005385, MP:0005387, MP:0005388, MP:0005391, MP:0005397, MP:0010768, MP:0010771
155	ACE3P	100129123	Ace3	MGI:3644400	
156	ACER1	125981	Acer1	MGI:2181962	MP:0005375, MP:0005376, MP:0005378, MP:0005379, MP:0005384, MP:0005386, MP:0005387, MP:0005391, MP:0005397, MP:0010771
157	ACER2	340485	Acer2	MGI:1920932	MP:0005376
158	ACER3	55331	Acer3	MGI:1913440	MP:0003631, MP:0005376, MP:0005386
159	ACHE	43	Ache	MGI:87876	MP:0003631, MP:0005369, MP:0005375, MP:0005376, MP:0005377, MP:0005378, MP:0005382, MP:0005385, MP:0005386, MP:0005387, MP:0005388, MP:0005389, MP:0005391, MP:0005397, MP:0010768
160	ACIN1	22985	Acin1	MGI:1891824	
161	ACKR1	2532	Ackr1	MGI:1097689	MP:0005376, MP:0005387, MP:0005390
162	ACKR2	1238	Ackr2	MGI:1891697	MP:0005387, MP:0010771
163	ACKR3	57007	Ackr3	MGI:109562	MP:0005369, MP:0005376, MP:0005378, MP:0005385, MP:0005386, MP:0005387, MP:0005388, MP:0005391, MP:0005397, MP:0010768
164	ACKR4	51554	Ackr4	MGI:2181676	MP:0005376, MP:0005378, MP:0005384, MP:0005387, MP:0005397
165	ACLY	47	Acly	MGI:103251	MP:0010768
166	ACMSD	130013	Acmsd	MGI:2386323	MP:0005376, MP:0005390, MP:0005397
167	ACO1	48	Aco1	MGI:87879	MP:0005370, MP:0005376, MP:0005381, MP:0005387, MP:0005391, MP:0005397, MP:0010768
168	ACO2	50	Aco2	MGI:87880	MP:0010768
169	ACOD1	730249	Acod1	MGI:103206	MP:0005386, MP:0005387, MP:0005397
170	ACOT1	641371	Acot1	MGI:1349396	
171	ACOT1	641371	Acot2	MGI:2159605	MP:0005386, MP:0005397
172	ACOT1	641371	Acot3	MGI:2159619	MP:0005367, MP:0005378, MP:0005386, MP:0005391
173	ACOT1	641371	Acot5	MGI:2384969	MP:0005376, MP:0005397
174	ACOT11	26027	Acot11	MGI:1913736	MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005384, MP:0005386, MP:0005387
175	ACOT12	134526	Acot12	MGI:1921406	MP:0005369, MP:0005385, MP:0005386
176	ACOT13	55856	Acot13	MGI:1914084	MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005381, MP:0005386
177	ACOT2	10965	Acot1	MGI:1349396	
178	ACOT2	10965	Acot2	MGI:2159605	MP:0005386, MP:0005397
179	ACOT2	10965	Acot3	MGI:2159619	MP:0005367, MP:0005378, MP:0005386, MP:0005391
180	ACOT2	10965	Acot5	MGI:2384969	MP:0005376, MP:0005397
181	ACOT4	122970	Acot4	MGI:2159621	
182	ACOT6	641372	Acot6	MGI:1921287	
183	ACOT7	11332	Acot7	MGI:1917275	MP:0003631, MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005386
184	ACOT8	10005	Acot8	MGI:2158201	
185	ACOT9	23597	Acot10	MGI:1928940	
186	ACOT9	23597	Acot9	MGI:1928939	
187	ACOX1	51	Acox1	MGI:1330812	MP:0002006, MP:0005370, MP:0005376, MP:0005378, MP:0005379, MP:0005384, MP:0005387, MP:0005389
188	ACOX2	8309	Acox2	MGI:1934852	MP:0002006, MP:0005370, MP:0005379, MP:0005387
189	ACOX3	8310	Acox3	MGI:1933156	MP:0005376
190	ACOXL	55289	Acoxl	MGI:1921371	MP:0005370, MP:0005376, MP:0005378, MP:0005379, MP:0005385, MP:0005387, MP:0005389, MP:0005391, MP:0005397, MP:0010771
191	ACP1	52	Acp1	MGI:87881	MP:0005369, MP:0005376, MP:0005378, MP:0005384, MP:0005385, MP:0005387
192	ACP2	53	Acp2	MGI:87882	MP:0003631, MP:0005367, MP:0005378, MP:0005384, MP:0005386, MP:0005387, MP:0005390, MP:0005397, MP:0010771
193	ACP3	55	Acpp	MGI:1928480	MP:0002006, MP:0005379, MP:0005386, MP:0005389
194	ACP4	93650	Acp4	MGI:3644563	MP:0005378, MP:0005382, MP:0005390
195	ACP5	54	Acp5	MGI:87883	MP:0005371, MP:0005387, MP:0005390, MP:0005397
196	ACP6	51205	Acp6	MGI:1931010	MP:0005376, MP:0005386, MP:0010768
197	ACP7	390928	Acp7	MGI:2142121	
198	ACR	49	Acr	MGI:87884	MP:0005389
199	ACRBP	84519	Acrbp	MGI:1859515	MP:0005384, MP:0005389
200	ACRV1	56	Acrv1	MGI:104590	
201	ACSBG1	23205	Acsbg1	MGI:2385656	MP:0005376, MP:0005379, MP:0005389
202	ACSBG2	81616	Acsbg2	MGI:3587728	MP:0005386, MP:0005390
203	ACSF2	80221	Acsf2	MGI:2388287	MP:0005386, MP:0005397
204	ACSF3	197322	Acsf3	MGI:2182591	
205	ACSL1	2180	Acsl1	MGI:102797	MP:0005369, MP:0005375, MP:0005376, MP:0005378, MP:0005384, MP:0005385, MP:0005386, MP:0005388, MP:0010768
206	ACSL3	2181	Acsl3	MGI:1921455	MP:0005378, MP:0005387, MP:0005397
207	ACSL4	2182	Acsl4	MGI:1354713	MP:0005371, MP:0005376, MP:0005378, MP:0005379, MP:0005385, MP:0005389, MP:0005390, MP:0005397, MP:0010768
208	ACSL5	51703	Acsl5	MGI:1919129	MP:0005370, MP:0005376, MP:0005378, MP:0005385, MP:0005387, MP:0005390, MP:0005391, MP:0005397
209	ACSL6	23305	Acsl6	MGI:894291	MP:0003631, MP:0005376, MP:0005386, MP:0005387, MP:0005397
210	ACSM1	116285	Acsm1	MGI:2152200	
211	ACSM2A	123876	Acsm2	MGI:2385289	MP:0005376, MP:0010771
212	ACSM2B	348158	Acsm2	MGI:2385289	MP:0005376, MP:0010771
213	ACSM3	6296	Acsm3	MGI:99538	
214	ACSM4	341392	Acsm4	MGI:2681844	
215	ACSM5	54988	Acsm5	MGI:2444086	
216	ACSS1	84532	Acss1	MGI:1915988	MP:0005376, MP:0005378, MP:0005384, MP:0005386, MP:0010768
217	ACSS2	55902	Acss2	MGI:1890410	
218	ACSS3	79611	Acss3	MGI:2685720	
219	ACTA1	58	Acta1	MGI:87902	MP:0005369, MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005382, MP:0005386, MP:0005390, MP:0005391, MP:0010768
220	ACTA2	59	Acta2	MGI:87909	MP:0005369, MP:0005385, MP:0005391
221	ACTB	60	Actb	MGI:87904	MP:0003631, MP:0005377, MP:0005378, MP:0005380, MP:0010768
222	ACTBL2	345651	Actbl2	MGI:2444552	
223	ACTC1	70	Actc1	MGI:87905	MP:0005369, MP:0005378, MP:0005384, MP:0005385, MP:0010768
224	ACTE1P	399923	Acte1	MGI:2685344	
225	ACTG1	71	Actg1	MGI:87906	MP:0003631, MP:0005369, MP:0005377, MP:0005378, MP:0005380, MP:0005386, MP:0010768, MP:0010771
226	ACTG2	72	Actg2	MGI:104589	MP:0005376, MP:0005391
227	ACTL10	170487	Actl10	MGI:1917612	MP:0005376
228	ACTL11P	389120	Actl11	MGI:1914972	
229	ACTL6A	86	Actl6a	MGI:1861453	MP:0005384, MP:0005386, MP:0005387, MP:0005397, MP:0010768
230	ACTL6B	51412	Actl6b	MGI:1933548	MP:0003631, MP:0005377, MP:0005386, MP:0005389, MP:0010768
231	ACTL7A	10881	Actl7a	MGI:1343051	MP:0005384, MP:0005389
232	ACTL7B	10880	Actl7b	MGI:1343053	MP:0005367, MP:0005378, MP:0005385, MP:0005389
233	ACTL9	284382	Actl9	MGI:1916731	MP:0005384, MP:0005389
234	ACTMAP	284325	Actmap	MGI:3041247	MP:0005369, MP:0005384, MP:0005386
235	ACTN1	87	Actn1	MGI:2137706	
236	ACTN2	88	Actn2	MGI:109192	
237	ACTN3	89	Actn3	MGI:99678	MP:0005369, MP:0005376
238	ACTN4	81	Actn4	MGI:1890773	MP:0002006, MP:0003631, MP:0005367, MP:0005369, MP:0005370, MP:0005376, MP:0005377, MP:0005378, MP:0005379, MP:0005380, MP:0005381, MP:0005382, MP:0005384, MP:0005385, MP:0005387, MP:0005388, MP:0005390, MP:0005391, MP:0005397, MP:0010768, MP:0010771
239	ACTR10	55860	Actr10	MGI:1891654	
240	ACTR1A	10121	Actr1a	MGI:1858964	
241	ACTR1B	10120	Actr1b	MGI:1917446	
242	ACTR2	10097	Actr2	MGI:1913963	
243	ACTR3	10096	Actr3	MGI:1921367	MP:0005380, MP:0010768
244	ACTR3B	57180	Actr3b	MGI:2661120	MP:0005376, MP:0005386
245	ACTR5	79913	Actr5	MGI:1924748	MP:0003631, MP:0005378, MP:0005380, MP:0005386, MP:0010768
246	ACTR6	64431	Actr6	MGI:1914269	MP:0005376, MP:0010768
247	ACTR8	93973	Actr8	MGI:1860775	MP:0005376, MP:0005378, MP:0005380, MP:0005390, MP:0005397, MP:0010768
248	ACTRT1	139741	Actrt1	MGI:1920610	MP:0005384, MP:0005389
249	ACTRT2	140625	Actrt2	MGI:1920603	
250	ACTRT3	84517	Actrt3	MGI:1923902	MP:0005386, MP:0010771
251	ACVR1	90	Acvr1	MGI:87911	MP:0002006, MP:0003631, MP:0005369, MP:0005371, MP:0005376, MP:0005377, MP:0005378, MP:0005380, MP:0005381, MP:0005382, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005390, MP:0010768
252	ACVR1B	91	Acvr1b	MGI:1338944	MP:0005378, MP:0005379, MP:0005380, MP:0005382, MP:0005384, MP:0005387, MP:0005389, MP:0005390, MP:0010768, MP:0010771
253	ACVR1C	130399	Acvr1c	MGI:2661081	MP:0005375, MP:0005378, MP:0005385, MP:0005386
254	ACVR2A	92	Acvr2a	MGI:102806	MP:0005376, MP:0005378, MP:0005379, MP:0005380, MP:0005381, MP:0005382, MP:0005384, MP:0005386, MP:0005387, MP:0005389, MP:0005390, MP:0005391, MP:0005397, MP:0010768
255	ACVR2B	93	Acvr2b	MGI:87912	MP:0005367, MP:0005369, MP:0005370, MP:0005376, MP:0005378, MP:0005380, MP:0005385, MP:0005387, MP:0005388, MP:0005390, MP:0005397, MP:0010768
256	ACVRL1	94	Acvrl1	MGI:1338946	MP:0003631, MP:0005369, MP:0005370, MP:0005376, MP:0005378, MP:0005380, MP:0005381, MP:0005382, MP:0005385, MP:0005388, MP:0005397, MP:0010768
257	ACY1	95	Acy1	MGI:87913	MP:0005376, MP:0005386
258	ACY3	91703	Acy3	MGI:1918920	MP:0005376, MP:0005397
259	ACYP1	97	Acyp1	MGI:1913454	MP:0005376, MP:0005378
260	ACYP2	98	Acyp2	MGI:1922822	
261	ADA	100	Ada	MGI:87916	MP:0005367, MP:0005369, MP:0005370, MP:0005376, MP:0005378, MP:0005379, MP:0005380, MP:0005381, MP:0005384, MP:0005385, MP:0005387, MP:0005388, MP:0005389, MP:0005390, MP:0005397, MP:0010768
262	ADAD1	132612	Adad1	MGI:103258	MP:0005376, MP:0005384, MP:0005389, MP:0010768
263	ADAD2	161931	Adad2	MGI:1923023	MP:0005376, MP:0005386, MP:0005389
264	ADAL	161823	Adal	MGI:1923144	MP:0005390, MP:0005397
265	ADAM10	102	Adam10	MGI:109548	MP:0003631, MP:0005376, MP:0005378, MP:0005379, MP:0005380, MP:0005381, MP:0005382, MP:0005384, MP:0005385, MP:0005387, MP:0005389, MP:0005390, MP:0005397, MP:0010768
266	ADAM11	4185	Adam11	MGI:1098667	MP:0005386
267	ADAM12	8038	Adam12	MGI:105378	MP:0005369, MP:0005375, MP:0010768
268	ADAM15	8751	Adam15	MGI:1333882	MP:0002006, MP:0005385, MP:0005391
